Breed,Weight_kg,Age_years,RBC,Hb,WBC,Platelets,Glucose,Creatinine,ALT,MCV,MCH,MCHC,MedicalHistory,Vd,ke,CL,fi,D_eff,Xylazine_Dose_mg_per_kg,Safe_Unsafe
Boxer,17.8677,4.0349,5.185,12.358,5.29,265.3,108.0,1.207,66.5,81.931,19.745,30.8953,Chronic illness,2.022,0.0202,0.0409,0.5342,0.1821,0.577,0
Rottweiler,34.6,0.8,4.316,12.058,4.759,143.6,105.8,1.919,40.2,85.39,23.76,30.93,Previous kidney disease,2.023,0.0203,0.0411,0.5313,0.1877,0.534,0
Mixed Breed,12.6,2.1,5.275,12.275,7.388,194.1,89.5,1.83,36.1,91.08,26.0,29.35,Previous kidney disease,1.968,0.0174,0.0342,0.5307,0.1403,0.421,0
Yorkshire Terrier,6.5,10.0,5.47,12.667,10.657,465.2,112.4,1.019,87.9,76.37,21.23,30.43,Vaccinated,1.815,0.0197,0.0358,0.5307,0.1754,0.534,1
Labrador Retriever,25.4137,3.3104,5.81,11.648,10.862,399.8,95.6,1.972,38.0,63.3588,23.2061,31.3469,Previous kidney disease,2.005,0.0194,0.0389,0.5252,0.2432,0.692,0
Yorkshire Terrier,4.2917,7.312,5.986,14.67,10.618,266.0,101.5,1.08,80.5,79.4518,28.4591,30.2604,Not vaccinated,1.952,0.0216,0.0422,0.5206,0.1613,0.502,0
Golden Retriever,45.0,1.6,4.727,12.05,4.031,268.5,77.5,1.445,61.8,82.52,27.33,29.07,Vaccinated,2.16,0.0211,0.0456,0.5307,0.2021,0.582,1
Boxer,16.3,3.5,5.545,13.018,6.865,115.5,106.4,0.687,40.9,80.37,25.27,29.9,Allergies,2.019,0.021,0.0424,0.5302,0.1532,0.466,1
German Shepherd,39.7,1.9,5.099,11.184,6.709,358.9,75.9,1.749,52.4,70.71,22.84,29.37,Chronic illness,1.986,0.0213,0.0423,0.5317,0.1961,0.566,0
Beagle,25.322,5.6424,5.079,9.752,9.694,230.8,97.7,0.824,37.7,70.0122,26.0009,30.3161,Allergies,2.071,0.0196,0.0406,0.5308,0.1838,0.556,1
Poodle,7.8,5.7,5.665,13.361,5.995,251.5,82.0,0.796,43.8,85.97,26.95,29.88,Previous heart condition,1.953,0.0218,0.0426,0.5293,0.1542,0.455,0
Boxer,21.0303,5.266,5.826,12.434,8.399,221.0,105.8,1.148,62.5,76.2491,22.1454,30.05,Parasite history,2.001,0.0223,0.0446,0.5243,0.1529,0.473,0
German Shepherd,45.5608,0.9026,5.036,8.448,15.29,204.6,121.1,1.296,33.1,68.1333,19.54,28.2197,Allergies,1.974,0.0209,0.0413,0.5584,0.2335,0.684,0
Mixed Breed,5.0,10.4,6.634,14.937,6.331,377.5,98.5,0.621,40.9,81.62,21.9,30.84,Recent surgery,2.014,0.0199,0.0401,0.5278,0.2092,0.624,0
Beagle,23.9,14.8,6.147,15.544,7.718,316.8,86.9,1.165,31.3,82.67,19.2,31.48,Previous heart condition,1.936,0.0224,0.0434,0.5269,0.2124,0.615,1
Labrador Retriever,34.3,4.7,5.335,16.441,7.663,211.3,94.2,1.585,60.8,88.31,19.96,33.11,Chronic illness,1.981,0.0222,0.044,0.526,0.2318,0.652,0
Boxer,20.3,15.0,6.303,14.092,9.74,311.5,109.6,1.629,37.9,80.11,23.52,31.34,Previous kidney disease,1.95,0.0196,0.0382,0.529,0.1794,0.544,0
German Shepherd,30.5049,4.5206,5.764,16.768,6.556,251.3,81.6,1.192,57.8,81.2932,22.3441,29.4109,No previous conditions,1.964,0.0224,0.044,0.5262,0.2189,0.61,1
Mixed Breed,7.2,8.3,6.702,14.634,3.0,194.5,84.6,0.876,30.6,75.32,27.0,29.87,No previous conditions,1.97,0.0196,0.0386,0.5279,0.1552,0.463,1
Boxer,19.4035,1.8506,4.849,12.836,9.453,355.4,114.9,1.081,62.8,84.0186,24.5166,31.879,Parasite history,1.96,0.0225,0.0441,0.5124,0.2051,0.615,0
Boxer,15.8,10.1,7.498,16.985,6.267,189.6,111.6,0.95,37.8,90.52,25.26,33.24,Vaccinated,1.968,0.0196,0.0386,0.5257,0.1716,0.517,1
Golden Retriever,25.0,8.0,5.347,10.581,11.565,284.5,97.5,1.216,120.5,69.94,27.0,30.32,No previous conditions,2.01,0.0211,0.0424,0.5328,0.2285,0.661,0
Rottweiler,33.8459,8.5665,4.863,9.122,7.945,482.9,100.1,1.631,123.4,73.2716,23.7477,30.7417,Recent surgery,1.934,0.0214,0.0414,0.5444,0.1807,0.526,1
Rottweiler,45.0,0.9,5.318,14.429,11.282,368.9,75.1,1.159,36.3,85.07,26.92,32.63,Allergies,2.013,0.0209,0.0421,0.528,0.189,0.534,1
Boxer,25.0,3.4,5.05,10.282,11.388,255.9,73.4,1.274,88.1,69.43,22.12,29.48,Parasite history,2.01,0.022,0.0442,0.5327,0.1675,0.512,1
Bulldog,22.3,11.1,6.257,13.731,6.448,265.0,62.3,1.135,87.6,70.12,25.75,29.24,Not vaccinated,2.216,0.0203,0.045,0.5285,0.1299,0.405,0
Golden Retriever,37.5,4.7,6.682,16.283,7.886,270.5,95.8,1.317,50.2,85.86,27.96,29.59,No previous conditions,2.015,0.0226,0.0455,0.5262,0.1827,0.521,1
Beagle,17.6,10.0,5.439,12.484,7.135,187.6,73.7,0.977,40.6,82.49,24.63,30.8,Parasite history,2.027,0.0221,0.0448,0.5302,0.1996,0.582,1
Labrador Retriever,30.2,9.3,4.681,12.39,8.661,252.2,94.9,1.222,67.4,78.67,22.97,29.39,Allergies,2.003,0.021,0.0421,0.5307,0.2217,0.63,1
Bulldog,27.0,1.7,4.626,13.28,8.227,281.4,81.0,1.063,52.5,98.33,22.75,32.03,Skin conditions history,2.227,0.0184,0.041,0.5294,0.1411,0.441,1
Poodle,7.6635,1.9186,5.947,16.182,3.38,236.1,71.9,1.233,42.4,74.8374,21.6325,32.9484,Chronic illness,1.858,0.0212,0.0394,0.5277,0.2182,0.644,1
Beagle,29.3643,14.0775,4.905,10.53,6.595,223.6,128.7,1.336,55.0,82.8454,21.6824,28.4501,Not vaccinated,1.987,0.023,0.0457,0.5281,0.2093,0.622,1
Yorkshire Terrier,6.6355,11.2204,6.688,16.375,4.566,131.4,101.5,0.897,52.5,79.0597,24.3907,33.5368,Parasite history,1.893,0.022,0.0417,0.5297,0.1544,0.463,0
Rottweiler,36.4,9.0,6.108,17.009,7.022,205.3,91.3,1.49,84.0,84.16,27.3,35.57,Vaccinated,2.019,0.0242,0.0489,0.5253,0.2193,0.616,1
Labrador Retriever,44.9883,14.1873,5.735,12.439,11.022,459.7,75.5,1.356,33.6,69.3684,22.241,30.1252,Previous heart condition,1.948,0.0236,0.046,0.5454,0.1777,0.504,0
Yorkshire Terrier,6.9079,10.0542,4.827,14.209,10.882,371.7,102.9,0.832,98.4,88.5268,22.5661,32.4945,Vaccinated,1.936,0.0223,0.0432,0.5357,0.1655,0.5,1
Mixed Breed,9.5,9.3,7.318,8.0,9.581,550.0,111.5,1.18,34.5,60.0,26.26,28.0,No previous conditions,2.073,0.0196,0.0406,0.536,0.139,0.422,0
Bulldog,31.5464,4.1499,5.609,11.705,8.277,280.6,54.8,1.528,127.0,73.3335,28.1367,32.251,Not vaccinated,2.092,0.0214,0.0448,0.5414,0.1283,0.391,1
Labrador Retriever,25.7,6.3,6.049,17.382,8.832,149.1,86.5,1.164,79.1,88.76,25.71,34.0,No previous conditions,1.959,0.0246,0.0482,0.5248,0.2377,0.667,1
Beagle,26.5171,9.5312,6.326,12.965,7.849,277.5,81.9,1.032,78.6,78.6682,23.2973,29.0449,Recent surgery,2.017,0.0236,0.0476,0.5293,0.1855,0.544,0
Yorkshire Terrier,3.8,1.5,5.872,11.877,6.736,259.0,83.2,1.259,40.2,77.48,21.54,31.25,Recent surgery,1.966,0.0207,0.0407,0.5311,0.1881,0.573,1
German Shepherd,41.9214,8.7559,5.931,12.854,4.994,200.6,90.2,2.022,51.3,79.991,25.8921,29.6567,Previous kidney disease,1.93,0.0204,0.0394,0.5344,0.2419,0.693,0
Rottweiler,43.5,11.2,5.658,13.963,7.597,263.4,103.9,1.395,82.4,78.45,25.63,30.17,Previous heart condition,2.036,0.0221,0.045,0.5291,0.1829,0.518,0
Poodle,6.2,2.7,6.737,18.338,10.873,300.5,96.4,0.721,30.3,86.02,25.45,34.88,Previous heart condition,1.873,0.0215,0.0403,0.5239,0.2132,0.622,0
Yorkshire Terrier,3.0151,5.7468,6.296,16.553,17.531,218.0,97.2,1.304,61.3,87.7336,20.7506,31.8554,Previous kidney disease,1.786,0.0196,0.035,0.5277,0.1904,0.566,0
Golden Retriever,30.8,11.9,6.179,15.74,7.264,255.2,101.2,1.094,99.5,88.16,25.94,31.58,Previous heart condition,2.045,0.0224,0.0458,0.527,0.1992,0.569,0
Boxer,18.3,1.0,6.073,18.418,10.571,293.4,55.7,1.148,31.8,87.0,22.38,33.19,Not vaccinated,1.994,0.0225,0.0449,0.523,0.1823,0.546,1
German Shepherd,36.0,6.7,5.614,11.998,8.422,282.5,86.5,0.929,79.8,73.86,23.39,30.28,Skin conditions history,1.992,0.0213,0.0424,0.531,0.2315,0.667,1
Poodle,9.7,8.6,6.232,15.83,7.091,337.0,55.8,1.472,34.0,84.76,27.09,32.26,Previous kidney disease,1.872,0.0192,0.0359,0.526,0.1976,0.579,0
Bulldog,21.9,0.5,5.904,16.679,7.053,217.7,78.1,1.039,59.5,88.21,27.31,32.21,Parasite history,2.171,0.0189,0.041,0.5254,0.1917,0.594,1
Yorkshire Terrier,8.0,12.0,4.906,9.508,4.895,230.0,103.7,1.013,35.3,82.93,24.02,31.17,No previous conditions,1.921,0.0206,0.0396,0.5342,0.1777,0.545,1
Rottweiler,31.7,11.7,5.56,11.022,7.879,376.6,106.3,1.849,37.0,76.96,23.03,29.48,Previous kidney disease,1.917,0.0196,0.0376,0.5325,0.2027,0.578,0
Bulldog,23.2,6.0,7.091,17.441,12.512,118.0,87.1,1.161,81.2,81.92,24.02,31.03,Not vaccinated,2.072,0.02,0.0414,0.5247,0.1768,0.547,0
Mixed Breed,26.3,2.0,6.309,18.071,10.786,146.8,105.9,1.141,81.0,83.67,21.83,34.36,Parasite history,1.936,0.019,0.0368,0.5244,0.178,0.527,0
Boxer,23.3823,11.5074,5.528,16.921,7.001,212.7,103.9,1.251,38.8,85.644,26.1692,32.2903,Parasite history,2.013,0.0221,0.0445,0.5317,0.2029,0.607,1
German Shepherd,24.4,9.6,5.632,12.265,5.678,265.8,76.6,1.216,77.7,71.7,21.36,28.0,Allergies,2.033,0.0231,0.047,0.5305,0.1939,0.558,1
Rottweiler,40.5345,14.9594,4.689,14.122,7.127,171.9,77.4,1.281,29.2,88.3909,26.9032,29.1318,Vaccinated,1.931,0.0216,0.0417,0.5046,0.2161,0.641,1
Labrador Retriever,37.9615,1.4667,4.896,12.089,3.0,231.4,87.4,1.949,47.3,80.5513,26.2917,30.9572,Previous kidney disease,1.979,0.0212,0.0419,0.5279,0.2015,0.58,0
Beagle,28.4949,5.4126,4.482,8.683,4.905,135.1,94.2,0.963,33.4,81.3198,21.8464,30.6917,Skin conditions history,2.016,0.0228,0.046,0.5423,0.186,0.544,0
Bulldog,27.5256,3.3988,5.258,10.505,3.405,250.4,96.1,1.026,43.9,69.7657,25.4994,27.9968,Allergies,2.307,0.0198,0.0457,0.5208,0.1752,0.524,1
Rottweiler,26.3,6.2,5.357,17.457,11.872,252.2,108.6,0.997,34.8,86.18,20.44,34.27,No previous conditions,2.101,0.0223,0.0469,0.5251,0.1934,0.543,1
Beagle,17.6,6.1,6.481,13.36,9.886,254.1,114.8,0.793,77.3,78.75,23.01,30.34,Dental issues,1.998,0.0222,0.0444,0.53,0.1839,0.536,1
Poodle,7.5463,0.5242,5.729,11.549,15.81,414.9,81.4,1.328,105.7,68.2814,25.287,28.0977,Previous kidney disease,2.022,0.0204,0.0412,0.5444,0.1845,0.56,0
Beagle,23.4222,7.5371,5.499,13.052,5.129,137.7,82.6,1.189,46.5,84.4928,22.41,29.1347,Dental issues,1.98,0.022,0.0436,0.5113,0.2053,0.616,0
Labrador Retriever,32.3489,12.1694,5.429,12.45,5.106,195.0,100.1,1.551,48.5,80.6961,25.872,28.12,Recent surgery,1.987,0.0231,0.0459,0.5323,0.1858,0.541,0
German Shepherd,43.5202,10.4432,6.011,15.248,6.321,156.6,89.0,1.463,44.8,88.3422,22.1219,31.8866,Previous heart condition,1.977,0.0222,0.0439,0.5122,0.2376,0.671,0
Mixed Breed,26.0533,1.9061,6.181,18.093,3.067,208.4,128.1,1.089,59.3,82.9034,22.455,33.3377,Parasite history,1.999,0.0197,0.0394,0.5125,0.1476,0.438,1
Labrador Retriever,38.7443,5.8667,6.449,11.87,10.363,260.9,83.9,1.196,57.9,70.2041,26.7615,30.6825,Allergies,2.034,0.0236,0.048,0.5301,0.2077,0.565,1
Labrador Retriever,27.6,7.7,6.793,17.438,10.015,190.2,74.7,1.58,41.4,85.32,26.76,32.72,Recent surgery,1.947,0.0239,0.0465,0.5245,0.215,0.603,0
Rottweiler,29.9433,10.166,5.676,11.87,5.799,287.5,79.8,1.125,31.5,78.808,23.4704,28.8256,No previous conditions,2.054,0.0216,0.0444,0.5418,0.2285,0.692,1
Bulldog,14.2299,11.7431,6.566,12.169,9.294,185.3,88.6,1.022,44.3,79.7107,27.2429,30.6119,Previous heart condition,2.124,0.0179,0.038,0.5302,0.1613,0.534,1
Boxer,27.6,13.0,6.786,16.984,6.395,197.8,98.0,1.091,51.8,84.33,22.21,30.72,Dental issues,1.968,0.0202,0.0398,0.5255,0.1897,0.571,1
Yorkshire Terrier,5.6959,13.0523,5.619,12.679,10.832,347.4,80.5,0.827,52.5,80.0915,23.4937,32.7479,Recent surgery,1.884,0.0202,0.038,0.5401,0.197,0.603,0
Mixed Breed,13.4,4.2,5.088,11.032,7.696,315.9,66.3,1.052,47.2,84.98,19.8,31.67,Chronic illness,2.002,0.0205,0.041,0.5317,0.1563,0.47,0
Mixed Breed,18.109,12.2548,5.328,14.589,9.586,378.4,56.2,1.172,68.3,87.631,22.422,30.3283,Recent surgery,2.163,0.0202,0.0437,0.5196,0.159,0.468,0
Boxer,21.8726,12.8148,5.221,10.869,8.356,511.0,71.1,1.224,47.9,62.4316,19.7482,28.0457,Previous heart condition,1.947,0.0206,0.0401,0.5428,0.1672,0.53,0
Poodle,9.4,4.1,4.822,12.867,5.296,275.0,97.7,1.24,100.4,83.7,25.83,32.11,Dental issues,1.91,0.0204,0.039,0.5302,0.1935,0.572,1
Mixed Breed,22.0,13.4,4.774,12.51,5.202,207.8,78.5,0.989,36.2,82.91,27.2,33.81,Recent surgery,1.948,0.0183,0.0356,0.5302,0.1558,0.467,0
Rottweiler,36.0929,4.4059,6.6,14.843,7.046,237.7,72.0,2.174,36.5,75.9116,21.4876,30.9241,Previous kidney disease,1.964,0.0228,0.0448,0.5274,0.253,0.692,0
Labrador Retriever,25.4,14.6,4.87,15.454,3.0,297.6,107.4,1.268,56.8,89.63,26.63,32.75,Dental issues,2.026,0.0221,0.0448,0.5274,0.1999,0.564,0
Boxer,27.3567,0.501,5.645,13.477,5.874,267.9,105.9,1.05,34.7,73.7727,26.4908,29.3487,No previous conditions,2.134,0.0199,0.0425,0.5415,0.1742,0.531,1
Poodle,7.3,1.7,5.861,9.663,11.556,416.8,89.6,1.021,59.0,63.17,19.3,28.0,Chronic illness,2.0,0.0202,0.0404,0.5337,0.1974,0.588,1
Rottweiler,34.4191,5.8071,5.217,12.338,5.682,328.8,93.7,1.435,38.0,77.5317,27.27,27.3333,Chronic illness,1.991,0.0201,0.04,0.5465,0.1848,0.54,0
Poodle,4.0118,8.9845,6.01,13.874,7.677,376.0,88.7,1.147,112.3,83.1504,22.0506,30.2445,Recent surgery,1.925,0.0197,0.0379,0.519,0.2235,0.648,0
Boxer,24.1,12.2,5.277,15.52,6.577,211.1,102.9,1.036,45.8,86.5,20.15,32.53,No previous conditions,2.017,0.0207,0.0418,0.5273,0.1638,0.495,1
Beagle,24.6309,8.2598,5.911,16.738,3.22,161.1,108.0,1.299,35.5,91.1037,25.5646,35.5105,Vaccinated,1.984,0.0224,0.0444,0.5424,0.2125,0.627,1
Bulldog,24.4881,12.9992,5.674,9.997,8.926,527.5,97.6,0.929,74.1,69.0113,24.9917,29.0727,Allergies,2.167,0.0199,0.0431,0.5439,0.126,0.409,1
Labrador Retriever,28.5,9.5,6.428,13.206,8.431,253.3,96.7,1.097,67.2,77.34,23.27,30.4,Parasite history,1.945,0.0237,0.0461,0.5298,0.1964,0.557,1
Golden Retriever,39.1,12.8,5.304,14.231,7.142,268.7,74.0,1.201,31.5,84.18,23.84,31.99,Skin conditions history,2.045,0.0211,0.0431,0.5282,0.2231,0.639,1
Boxer,18.0492,8.5651,5.964,14.443,7.689,356.2,89.9,1.031,92.4,78.8963,24.7837,33.6329,Recent surgery,1.95,0.0203,0.0396,0.5326,0.1545,0.468,1
Labrador Retriever,27.4,5.3,5.42,14.077,9.945,550.0,94.9,0.932,44.1,97.33,19.47,28.0,Recent surgery,1.939,0.0198,0.0384,0.5288,0.2378,0.673,0
Labrador Retriever,38.3,6.3,4.293,10.431,7.145,259.4,72.2,1.581,37.4,89.1,22.04,31.14,Recent surgery,2.01,0.0245,0.0492,0.5325,0.1876,0.535,0
Yorkshire Terrier,8.6325,3.5904,4.941,13.371,9.047,315.6,95.6,1.6,79.9,95.8038,21.1616,29.7832,Previous kidney disease,1.812,0.0191,0.0346,0.5376,0.1747,0.53,1
Bulldog,21.3,6.0,6.057,18.2,4.069,206.6,102.4,0.936,53.0,85.05,21.21,33.11,Not vaccinated,2.277,0.022,0.0501,0.5242,0.1847,0.571,1
Poodle,5.5,6.1,7.277,17.918,5.691,190.8,89.2,0.738,36.6,86.99,20.4,30.54,Parasite history,1.88,0.0211,0.0397,0.5242,0.2097,0.612,1
Mixed Breed,5.0831,10.5625,5.25,14.899,5.515,278.4,70.9,0.958,97.8,84.2337,21.9096,27.771,Chronic illness,2.052,0.0191,0.0392,0.5094,0.1534,0.449,1
Boxer,20.3069,2.156,4.244,9.833,8.554,155.6,86.0,1.224,69.0,80.389,20.9809,33.7447,Skin conditions history,2.115,0.0215,0.0455,0.5408,0.143,0.452,0
German Shepherd,26.0,7.3,5.938,13.393,8.445,324.7,92.3,1.418,77.5,74.66,24.75,31.71,Not vaccinated,2.045,0.0222,0.0454,0.5295,0.2284,0.656,1
German Shepherd,23.0417,5.615,5.271,12.12,8.158,329.1,107.2,0.82,63.4,85.4206,19.8181,30.3762,Not vaccinated,1.942,0.0222,0.0431,0.5284,0.2337,0.644,0
Labrador Retriever,32.4745,8.4439,3.914,11.629,3.0,202.6,104.4,1.661,48.1,87.8597,20.825,38.2587,Previous kidney disease,1.926,0.0217,0.0418,0.5223,0.1876,0.552,1
Labrador Retriever,37.1,6.3,6.885,16.472,8.188,288.7,87.3,1.171,34.2,86.55,24.97,31.34,Allergies,1.941,0.0228,0.0443,0.5259,0.2322,0.653,1
Poodle,4.7324,1.7679,5.308,10.666,4.141,245.6,86.0,0.9,46.6,80.6702,25.692,28.4205,Recent surgery,1.894,0.0217,0.0411,0.5334,0.1966,0.58,1
Golden Retriever,33.0,13.1,4.804,15.383,8.249,262.6,66.8,1.333,75.6,100.54,21.27,32.89,Skin conditions history,2.042,0.0233,0.0476,0.5267,0.2263,0.646,1
Beagle,22.8,9.2,7.326,19.874,14.847,256.8,107.4,1.2,38.1,85.69,24.23,32.9,Parasite history,1.957,0.0217,0.0425,0.5223,0.1834,0.526,1
Golden Retriever,29.8,12.9,5.001,11.205,9.116,410.6,122.1,1.337,47.3,73.08,22.63,30.24,Recent surgery,2.059,0.0214,0.0441,0.5326,0.1733,0.501,0
Poodle,6.4132,5.9841,5.662,10.962,4.933,260.2,83.1,0.928,37.8,74.7774,22.2867,30.2774,Vaccinated,2.003,0.0231,0.0463,0.5223,0.1954,0.588,1
Yorkshire Terrier,8.8239,5.3199,5.155,15.315,6.346,272.2,88.5,1.474,67.3,93.9168,21.4259,30.5093,Chronic illness,1.919,0.0207,0.0397,0.5271,0.189,0.596,0
German Shepherd,44.8,4.1,6.036,17.625,9.385,182.3,94.9,2.093,44.3,85.82,27.44,32.29,Previous kidney disease,2.014,0.0229,0.0461,0.5247,0.1825,0.519,0
Rottweiler,26.8,13.8,5.194,13.8,11.177,297.1,88.6,1.14,46.5,77.9,26.5,31.91,Parasite history,1.998,0.024,0.048,0.529,0.1833,0.519,0
Bulldog,21.6066,12.1459,6.508,16.704,3.0,141.3,96.0,1.049,35.7,88.9294,25.3976,30.4884,No previous conditions,2.192,0.019,0.0416,0.5316,0.1838,0.569,1
Mixed Breed,23.8,1.8,7.182,16.574,14.342,261.8,104.6,1.788,49.6,77.53,21.8,32.22,Chronic illness,2.013,0.0196,0.0395,0.5261,0.2002,0.595,0
Yorkshire Terrier,7.4215,9.9119,6.947,15.389,8.382,261.8,87.9,0.871,56.4,82.6459,22.446,30.2607,Dental issues,1.825,0.02,0.0365,0.5321,0.149,0.474,1
Beagle,29.3195,14.18,6.481,14.913,3.679,213.0,123.9,1.27,35.5,75.7332,26.4833,29.3503,No previous conditions,2.066,0.0221,0.0456,0.5214,0.2137,0.631,1
Labrador Retriever,40.2,11.6,5.853,12.588,4.856,219.3,77.9,1.029,51.8,70.65,21.25,31.5,Previous heart condition,1.982,0.0219,0.0434,0.5301,0.1935,0.549,0
Boxer,19.6,14.6,7.094,18.97,11.074,370.6,94.7,1.317,98.4,87.92,19.51,32.42,Previous kidney disease,1.963,0.0186,0.0365,0.5231,0.212,0.635,0
Beagle,20.7,4.4,5.693,10.312,6.574,315.6,87.9,0.817,39.6,77.6,26.89,29.4,Skin conditions history,1.845,0.022,0.0406,0.5329,0.1708,0.501,0
Yorkshire Terrier,8.9367,12.6391,5.651,15.147,10.142,241.7,61.6,1.087,49.6,87.5281,26.0639,28.6118,Recent surgery,1.952,0.0205,0.04,0.5305,0.173,0.524,0
Rottweiler,30.5,8.9,5.331,10.469,8.068,410.8,103.3,1.181,52.8,76.22,22.57,29.62,Not vaccinated,2.012,0.0212,0.0427,0.5331,0.2367,0.676,0
German Shepherd,38.07,8.6773,5.71,9.477,6.502,259.8,115.2,1.431,37.1,70.7269,24.0299,28.1243,Vaccinated,2.008,0.0218,0.0438,0.5282,0.2162,0.603,1
German Shepherd,25.1277,10.3917,6.148,13.84,8.374,274.2,100.3,1.272,67.6,78.4883,20.8266,29.0261,Recent surgery,2.009,0.0244,0.049,0.5377,0.1879,0.562,1
Beagle,26.2,6.1,5.917,14.405,18.0,135.4,77.5,1.132,50.7,84.76,22.04,31.7,Recent surgery,2.075,0.0216,0.0448,0.528,0.224,0.65,0
Bulldog,24.6,3.7,5.195,17.965,8.887,227.5,77.9,1.354,86.7,94.26,22.55,37.59,Chronic illness,2.195,0.0188,0.0413,0.524,0.1512,0.467,1
Rottweiler,40.0,10.6,5.904,16.26,15.451,171.3,77.0,1.501,32.9,73.75,19.26,32.26,Vaccinated,1.982,0.022,0.0436,0.5259,0.1906,0.536,1
Rottweiler,27.0839,5.2229,4.872,13.461,16.904,185.4,88.1,1.207,77.0,81.5502,26.3544,32.8676,Allergies,1.979,0.0227,0.0449,0.5339,0.1992,0.577,1
Poodle,5.8,9.0,5.998,12.624,8.327,192.9,87.8,0.823,33.0,77.31,20.63,28.29,Allergies,1.925,0.0225,0.0433,0.5303,0.2154,0.637,0
Yorkshire Terrier,7.5086,4.3609,5.933,15.813,6.854,238.4,85.4,0.776,32.0,84.293,20.2705,30.8898,Not vaccinated,1.858,0.0211,0.0392,0.5332,0.1899,0.575,0
Boxer,23.0029,13.8273,6.818,15.922,5.917,216.4,87.3,1.48,58.5,74.875,24.3347,32.8859,Chronic illness,2.059,0.0203,0.0418,0.5131,0.2082,0.612,0
Poodle,5.6,3.4,5.176,12.672,12.666,217.9,80.1,1.034,46.5,86.83,22.11,29.68,Vaccinated,1.877,0.0205,0.0385,0.5301,0.1671,0.494,0
Bulldog,27.1391,8.6165,6.097,11.41,16.692,219.3,57.6,1.158,42.9,72.0124,22.9088,28.1066,Skin conditions history,2.209,0.0195,0.0431,0.5307,0.1297,0.418,0
Bulldog,23.3243,9.1186,5.869,10.342,3.016,179.1,93.1,1.07,37.9,63.4169,24.2108,28.5592,Parasite history,2.217,0.0168,0.0372,0.5387,0.1879,0.6,0
Poodle,3.7771,10.2819,4.195,10.013,3.057,228.3,77.4,0.924,47.3,90.3709,24.7565,31.8964,Skin conditions history,1.954,0.0211,0.0412,0.5245,0.1593,0.499,1
Golden Retriever,37.0,14.2,6.256,22.0,5.829,143.7,77.4,1.223,37.2,80.03,24.3,31.68,Dental issues,2.027,0.0223,0.0452,0.5193,0.2266,0.637,1
